experiment,n_ports,direction,rep,tx_pps,rx_pps,drop_pct
VPP_1024-1029_Port_No_Block_15_rep1,6,15,1,37203394,31024388,16.61
VPP_1024-1029_Port_No_Block_15_rep2,6,15,2,37203391,30808666,17.19
VPP_1024-1029_Port_No_Block_15_rep3,6,15,3,37203394,30962590,16.77
VPP_1024-1029_Port_No_Block_41_rep1,6,41,1,37203141,0,100.0
VPP_1024-1029_Port_No_Block_41_rep2,6,41,2,37203187,0,100.0
VPP_1024-1029_Port_No_Block_41_rep3,6,41,3,37203178,0,100.0
VPP_1024-1030_Port_No_Block_15_41_rep1,7,15_41,1,37203388,15484467,58.38
VPP_1024-1030_Port_No_Block_15_41_rep2,7,15_41,2,37203388,15507122,58.32
VPP_1024-1030_Port_No_Block_15_41_rep3,7,15_41,3,37203392,15521642,58.28
VPP_1024-1030_Port_No_Block_15_rep1,7,15,1,37203394,30973436,16.75
VPP_1024-1030_Port_No_Block_15_rep2,7,15,2,37203396,30833231,17.12
VPP_1024-1030_Port_No_Block_15_rep3,7,15,3,37203394,30673975,17.55
VPP_1024-1030_Port_No_Block_41_rep1,7,41,1,37203190,0,100.0
VPP_1024-1030_Port_No_Block_41_rep2,7,41,2,37203193,0,100.0
VPP_1024-1030_Port_No_Block_41_rep3,7,41,3,37203191,0,100.0
VPP_1024-1031_Port_No_Block_15_41_rep1,8,15_41,1,37203396,15560412,58.17
VPP_1024-1031_Port_No_Block_15_41_rep2,8,15_41,2,37203392,15509150,58.31
VPP_1024-1031_Port_No_Block_15_41_rep3,8,15_41,3,37203395,15507956,58.32
VPP_1024-1031_Port_No_Block_15_rep1,8,15,1,37203395,30861259,17.05
VPP_1024-1031_Port_No_Block_15_rep2,8,15,2,37203393,31031537,16.59
VPP_1024-1031_Port_No_Block_15_rep3,8,15,3,37203393,30739636,17.37
VPP_1024-1031_Port_No_Block_41_rep1,8,41,1,37203166,0,100.0
VPP_1024-1031_Port_No_Block_41_rep2,8,41,2,37202302,0,100.0
VPP_1024-1031_Port_No_Block_41_rep3,8,41,3,37203165,0,100.0
VPP_1024-1032_Port_No_Block_15_41_rep1,9,15_41,1,37203398,15538918,58.23
VPP_1024-1032_Port_No_Block_15_41_rep2,9,15_41,2,37203389,15548021,58.21
VPP_1024-1032_Port_No_Block_15_41_rep3,9,15_41,3,37203393,15583051,58.11
VPP_1024-1032_Port_No_Block_15_rep1,9,15,1,37203393,30889746,16.97
VPP_1024-1032_Port_No_Block_15_rep2,9,15,2,37203390,30835679,17.12
VPP_1024-1032_Port_No_Block_15_rep3,9,15,3,37203393,30867753,17.03
VPP_1024-1032_Port_No_Block_41_rep1,9,41,1,37203186,0,100.0
VPP_1024-1032_Port_No_Block_41_rep2,9,41,2,37203188,0,100.0
VPP_1024-1032_Port_No_Block_41_rep3,9,41,3,37203187,0,100.0
VPP_1024-1033_Port_No_Block_15_41_rep1,10,15_41,1,37203399,15481094,58.39
VPP_1024-1033_Port_No_Block_15_41_rep2,10,15_41,2,37203397,15511920,58.31
VPP_1024-1033_Port_No_Block_15_41_rep3,10,15_41,3,37203389,15513400,58.3
VPP_1024-1033_Port_No_Block_15_rep1,10,15,1,37203391,30754579,17.33
VPP_1024-1033_Port_No_Block_15_rep2,10,15,2,37203391,30786787,17.25
VPP_1024-1033_Port_No_Block_15_rep3,10,15,3,37203390,30817535,17.16
VPP_1024-1033_Port_No_Block_41_rep1,10,41,1,37203185,0,100.0
VPP_1024-1033_Port_No_Block_41_rep2,10,41,2,37203159,0,100.0
VPP_1024-1033_Port_No_Block_41_rep3,10,41,3,37203164,0,100.0
